hashedIpAddress,timestamp,durationInSec,play_duration,clean_path,source,target,links_coords,normalized_links_coords
034582330cf29fea,1298003880,128,128,"['Calculus', 'Physical_science', 'Climate']",Calculus,Lemon,"[[(1055, 183), (228, 904)], [(260, 1560)]]","[[(0.5582010582010583, 0.09090909090909091), (0.12063492063492064, 0.4490809736711376)], [(0.13756613756613756, 0.579064587973274)]]"
1dfea1ae79125dae,1299622045,33,33,"['Theatre', 'Stage_%28theatre%29', 'Italian_Renaissance', 'Milan']",Theatre,Zebra,"[[], [], [(512, 1295), (254, 1894), (626, 3857)]]","[[], [], [(0.2708994708994709, 0.30484934086629), (0.1343915343915344, 0.4458568738229755), (0.33121693121693124, 0.9079566854990584)]]"
1dfea1ae79125dae,1299622124,62,62,['Brain'],Brain,Telephone,[],[]
17dd537e50968ed5,1299629755,1872,72,"['Pyramid', 'Mexico', 'Agriculture', 'Food', 'Protein']",Pyramid,Bean,"[[(1614, 664)], [(773, 2851)], [(461, 75), (213, 249)], [(515, 75), (599, 1906), (471, 2083)]]","[[(0.8539682539682539, 0.3062730627306273)], [(0.408994708994709, 0.45917216943147043)], [(0.24391534391534392, 0.01972127267946358), (0.1126984126984127, 0.06547462529581909)], [(0.2724867724867725, 0.034530386740331494), (0.31693121693121695, 0.8775322283609577), (0.2492063492063492, 0.9590239410681399)]]"
0604ba6413e73f89,1299633434,1860,60,"['Pyramid', 'Ancient_Egypt', 'Irrigation', 'Salt', 'Greece']",Pyramid,Bean,"[[(1362, 284), (866, 329)], [(816, 202), (684, 2532)], [(382, 2169)], [(479, 289)]]","[[(0.7206349206349206, 0.13099630996309963), (0.4582010582010582, 0.15175276752767528)], [(0.43174603174603177, 0.052155951458817455), (0.3619047619047619, 0.6537567776917118)], [(0.2021164021164021, 0.8479280688037529)], [(0.25343915343915346, 0.18233438485804415)]]"
60859e241fa45d13,1299635108,2035,235,"['Theatre', 'France', 'Algeria', 'Africa', 'Camel', 'Mammal']",Theatre,Zebra,"[[(1152, 1009), (126, 2133)], [(1180, 1233), (905, 6723)], [(618, 103)], [(1508, 659), (891, 1338)], [(1750, 484)]]","[[(0.6095238095238096, 0.42609797297297297), (0.06666666666666667, 0.9007601351351351)], [(0.6243386243386243, 0.18073878627968337), (0.47883597883597884, 0.9854881266490765)], [(0.326984126984127, 0.0207118439573698)], [(0.7978835978835979, 0.09386127332288847), (0.4714285714285714, 0.19057114371172199)], [(0.9259259259259259, 0.22522103303862262)]]"
7f9ffb9053fec999,1299686332,7,7,['Brain'],Brain,Telephone,[],[]
7f9ffb9053fec999,1299689409,2069,269,"['Pyramid', 'Mexico', 'Agriculture', 'Soybean']",Pyramid,Bean,"[[(1614, 664)], [(773, 2851)], [(1329, 1922)]]","[[(0.8539682539682539, 0.3062730627306273)], [(0.408994708994709, 0.45917216943147043)], [(0.7031746031746032, 0.5053904811990534)]]"
6a1b46ca0375b50f,1299695403,233,233,"['Brain', 'Computer_science', 'Internet', 'Copper']",Brain,Telephone,"[[(583, 2880), (19, 3409)], [(231, 449)], [(773, 154)]]","[[(0.30846560846560844, 0.7682048546279008), (0.010052910052910053, 0.9093091491064283)], [(0.12222222222222222, 0.13794162826420892)], [(0.408994708994709, 0.04046242774566474)]]"
18c704cd72bf28a2,1299695678,1832,32,"['Asteroid', 'Sun', 'Latin', 'Roman_Empire', 'Civilization']",Asteroid,Viking,"[[(1259, 75), (1031, 1127)], [(243, 119)], [(464, 100)], [(320, 75)]]","[[(0.6661375661375661, 0.022949816401468787), (0.5455026455026455, 0.34485924112607097)], [(0.12857142857142856, 0.026062198861147613)], [(0.2455026455026455, 0.05387931034482758)], [(0.1693121693121693, 0.010032102728731942)]]"
4c18de0a381f3fe0,1299701414,1998,198,"['Theatre', 'Drama', 'China', 'Africa', 'Camel', 'Ethiopia']",Theatre,Zebra,"[[(24, 173)], [(275, 638)], [(374, 580)], [(1508, 659), (891, 1338)], [(130, 1029)]]","[[(0.012698412698412698, 0.07305743243243243)], [(0.1455026455026455, 0.3562255723059743)], [(0.19788359788359788, 0.13051305130513052)], [(0.7978835978835979, 0.09386127332288847), (0.4714285714285714, 0.19057114371172199)], [(0.06878306878306878, 0.4788273615635179)]]"
03747cbe70fc3e1d,1299706721,18,18,['Theatre'],Theatre,Zebra,[],[]
224e80644b7050aa,1299716462,106,106,"['Theatre', 'Brazil', 'Africa', 'Herbivore', 'Elephant']",Theatre,Zebra,"[[(330, 1785)], [(1052, 210), (63, 2654)], [(1255, 659)], [(412, 265)]]","[[(0.1746031746031746, 0.7538006756756757)], [(0.5566137566137566, 0.03805037144410219), (0.03333333333333333, 0.48088421815546295)], [(0.6640211640211641, 0.09386127332288847)], [(0.21604614577871, 0.6973684210526315)]]"
71841a26276d8f5f,1299725369,1830,30,"['Asteroid', '3_Juno', 'Germany']",Asteroid,Viking,"[[(990, 412), (203, 1234), (44, 2472)], [(1503, 75)]]","[[(0.5238095238095238, 0.12607099143206854), (0.10740740740740741, 0.37760097919216645), (0.02328042328042328, 0.7564259485924113)], [(0.7952380952380952, 0.05226480836236934)]]"
0ffd5e1c61c9caec,1299728038,1849,49,"['Pyramid', 'Mesopotamia', 'Soil']",Pyramid,Bean,"[[(44, 577)], [(1217, 1852)]]","[[(0.02328042328042328, 0.26614391143911437)], [(0.6439153439153439, 0.42722029988465976)]]"
464da36c69b883c5,1299728972,150,150,"['Brain', 'Europe', 'Earth', 'Ecuador', 'South_America', 'Continent', 'North_America']",Brain,Telephone,"[[(962, 3660)], [(373, 75), (832, 119), (727, 306)], [(143, 1010)], [(981, 103)], [(135, 98)], [(1419, 75), (254, 815), (25, 1273), (200, 1298), (1161, 1994)]]","[[(0.508994708994709, 0.9762603360896239)], [(0.19735449735449737, 0.012853470437017995), (0.4402116402116402, 0.020394173093401885), (0.38465608465608464, 0.05244215938303342)], [(0.07566137566137567, 0.18631248847076184)], [(0.5190476190476191, 0.03148884133292571)], [(0.07142857142857142, 0.023552030761836096)], [(0.7507936507936508, 0.023696682464454975), (0.1343915343915344, 0.2575039494470774), (0.013227513227513227, 0.40221169036334914), (0.10582010582010581, 0.41011058451816745), (0.6142857142857143, 0.6300157977883096)]]"
464da36c69b883c5,1299729084,109,109,"['Pyramid', 'Earth', 'United_States', 'North_America', 'Continent', 'South_America', 'Colombia']",Pyramid,Bean,"[[(1574, 119)], [(32, 281)], [(829, 75), (115, 493), (1358, 907), (986, 7791)], [(133, 75)], [(19, 75), (165, 815), (25, 1298), (200, 1323), (1231, 1911)], [(632, 374), (112, 1999), (309, 2384), (957, 2656), (1065, 2701), (49, 3350)]]","[[(0.8328042328042328, 0.05488929889298893)], [(0.016931216931216932, 0.051835454713152554)], [(0.43862433862433864, 0.009394964299135663), (0.06084656084656084, 0.06175623199298509), (0.7185185185185186, 0.11361643492421396), (0.5216931216931217, 0.9759488913942127)], [(0.07037037037037037, 0.02536354413256679)], [(0.010052910052910053, 0.023696682464454975), (0.0873015873015873, 0.2575039494470774), (0.013227513227513227, 0.41011058451816745), (0.10582010582010581, 0.41800947867298577), (0.6513227513227513, 0.6037914691943128)], [(0.3343915343915344, 0.08988223984619081), (0.05925925925925926, 0.48041336217255465), (0.1634920634920635, 0.5729391973083393), (0.5063492063492063, 0.6383080990146599), (0.5634920634920635, 0.6491228070175439), (0.025925925925925925, 0.8050949291035808)]]"
